name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
Desktop Computer PCI Graphics Card ATI Rage XL 8MB Tractor Card,https://static-01.daraz.com.bd/p/eba356456fad5eb1427776c69c9f24be.jpg,1239.00,1239.00,null,Not Available,Not Available,0,China,[],No Brand,True
"OUMERY VER018 PRO PCI-E Riser Card PCI-E 1X to 16X USB3.0 60cm Graphics Riser Card with 12 Solid Capacitors for Mining, Black",https://static-01.daraz.com.bd/p/c4efa8fccc0910c54f8f9feee1a70c86.jpg,4560.00,2452.00,null,-46%,Not Available,0,China,[],No Brand,True
1 PCS 5V 3Pin ARGB Graphics Cards Bracket Computer Graphics Card Holder ARGB GPU Holder Adjustable Support Stand Black,https://static-01.daraz.com.bd/p/f7ed0e4758447ae910ef1de5d17ea826.jpg,1280.00,1280.00,null,Not Available,Not Available,0,China,[],No Brand,True
Asus Geforce Gt 730 2GB GDDR5 Graphics Card,https://static-01.daraz.com.bd/p/e8ed4ada956f4d288a15d6c8b61daf74.jpg,9500.00,9250.00,null,-3%,Not Available,0,Bangladesh,"['Asus Geforce Gt 730 2GB GDDR5 Graphics CardBreakthrough Graphics Performance', 'Auto-Extreme Technology', 'GPU Tweak II', 'Fan less Silent Cooling head Sinks']",ASUS,True
AFOX AF710 NVIDIA Geforce GT710 2GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/2016c2b637c5eb79651d33d3273b64a6.jpg,7000.00,7000.00,null,Not Available,Not Available,0,Bangladesh,[],AFOX,True
AFOX AF240-1024D3L2 NVIDIA GeForce 240 1GB DDR3 GRAPHICS CARD,https://static-01.daraz.com.bd/p/2a33583de698b1e98a2f819c12841848.png,3599.00,3599.00,null,Not Available,Not Available,0,Bangladesh,"['NVIDIA GeForce GT240', 'Bus Standard --&gt; PCI Express 2.0', 'Video Memory --&gt; DDR3 1024MB', 'Memory Clock --&gt; 2000MHz', 'Memory Interface --&gt; 128-Bit', 'DVI Output --&gt; Yes X 1', 'HDMI Output --&gt; Yes X 1', 'D-Sub Output --&gt; Yes X 1', 'HDCP Support --&gt; Yes']",No Brand,True
Graphics Card GPU Holder Support Adjustable Telescopic Rotary Screw Aluminum Alloy Video Card Sag Bracket Desktop(Plus),https://static-01.daraz.com.bd/p/4f4de286c532c3b2ff52cf8c6fa4adb7.png,708.00,472.00,null,-33%,Not Available,0,China,[],No Brand,True
Afox nvidia geforce gt610 2gb ddr3 গ্রাফিক্স কার্ড AF610-2048D3L7,https://static-01.daraz.com.bd/p/a8c079e04038139384bd7c2437b6bdef.jpg,5900.00,5650.00,null,-4%,Not Available,0,Bangladesh,"['AFOX NVIDIA Geforce GT610 2GB DDR3 Graphics', 'Card', '■ NVIDIA GeForce GT610', '■ Bus Standard --> PCI Express 2.0', '■ Video Memory --> DDR3 2048MB', '■ Memory Clock --> 1100 MHz', '■ Memory Interface --> 64 bit', '■ DVI Output --> Yes X 1', '■ HDMI Output --> Yes X 1', '■ D-Sub Output --> Yes X 1']",No Brand,True
MSI GeForce GT 730 4GB DDR3 PCI Express 2.0 Graphics Card,https://static-01.daraz.com.bd/p/c829bd16b673791d7fc8aa2ff0a6b551.jpg,12500.00,12500.00,null,Not Available,Not Available,0,Bangladesh,[],No Brand,True
OUMERY 4X est 6In1 220V 100A Single Phase Digital Panel Ampermeter Volt Watt Kwh Power Factor Meter With Split Ct,https://static-01.daraz.com.bd/p/d50433bf4c0df7771034c72e0f88f57b.jpg,5798.00,3646.00,null,-37%,Not Available,0,China,[],No Brand,True
ASUS GeForce GT 730 2GB GDDR5 Graphics #GT730-SL-2GD5-BRK,https://static-01.daraz.com.bd/p/a9ffedfdd46f216dcc8b98485a19bae9.jpg,9500.00,9230.00,null,-3%,Not Available,0,Bangladesh,[],ASUS,True
OUMERY 2X Mini PCIe to PCI Express 16X Riser for Laptop External Image Card EXP GDC BTC MPCIe to PCI-E Slot Mining Card,https://static-01.daraz.com.bd/p/8f37bddc20994a21941468789f8123aa.jpg,2769.00,1742.00,null,-37%,Not Available,0,China,[],No Brand,True
AX99100 1P1S RS232 Serial Parallel Port DB25 25Pin PCIE Riser Card Replacement PCIE Riser Card,https://static-01.daraz.com.bd/p/cf9160b5140a4ac1417710ba2fb3158f.png,2168.00,1084.00,null,-50%,Not Available,0,China,[],No Brand,True
5V ARGB Sync Abyss Effect Computer Video Card Holder PC GPU VGA Graphic Card Support Stand Anti-Drop Bracket A,https://static-01.daraz.com.bd/p/7ee9c0420cee318676f392ed31100d67.png,2912.00,1456.00,null,-50%,Not Available,0,China,[],No Brand,True
OUMERY 4X VGA Virtual Display Adapter Male Dummy Plug EDID Headless Ghost Emulator Lock Plate,https://static-01.daraz.com.bd/p/04ee6d709b0205e9157b7c00e57750b8.jpg,2088.00,1207.00,null,-42%,Not Available,0,China,[],No Brand,True
2X VGA Virtual Display Adapter Male Dummy Plug EDID Headless Ghost Emulator Lock Plate,https://static-01.daraz.com.bd/p/b9a0290b70e4fc6d78c428d04266b0e2.jpg,1236.00,618.00,null,-50%,Not Available,0,China,[],No Brand,True
ASUS GeForce GTX 1050Ti 4GB DDR5 Graphics Card,https://static-01.daraz.com.bd/p/4026e66cf4fe92846b6c1d553d2e10b2.jpg,28000.00,23300.00,null,-17%,Not Available,0,Bangladesh,[],ASUS,True
OUMERY M.2 WiFi A.E Key Adapter Card M.2 A.E Key to PCIE 16X Graphics Card Extension Cable for Linx XP Win7 8 10,https://static-01.daraz.com.bd/p/d4ce613bcd5c210dc54f0fb4fef9ac31.jpg,2905.00,1513.00,null,-48%,Not Available,0,China,[],No Brand,True
XHHDQES 2X Mini PCIe to PCI Express 16X Riser for Laptop External Graphics Card EXP GDC BTC Miner MPCIe to PCI-E Slot,https://static-01.daraz.com.bd/p/74fc92e9dc51d0de3185505cc1abae7c.jpg,3100.00,1694.00,null,-45%,Not Available,0,China,[],No Brand,True
XHHDQES 2X Fence Voltage Tester Farm Fencing Electric Solar Energiser,https://static-01.daraz.com.bd/p/9de73eb1e9e3094758458acf9cc147a2.jpg,3431.00,2144.00,null,-38%,Not Available,0,China,[],No Brand,True
GT210 1GB Graphics Card PClE X16 2.0 GPU Computer Graphics Card DVI-D+VGA+HD Desktop Video Card,https://static-01.daraz.com.bd/p/889d13890b163fd5c4c1c9ecd9268dfc.png,6543.00,3556.00,null,-46%,Not Available,0,China,[],No Brand,True
XHHDQES GT210 512M DDR3 64Bit Graphics Card PCIE 2.0 GPU HDMI-Compatible DVI VGA Desktop Video Card,https://static-01.daraz.com.bd/p/0f228837460690b3ce32544280b54587.jpg,6009.00,3514.00,null,-42%,Not Available,0,China,[],No Brand,True
XHHDQES PCI Express 3 Port Video Capture Card Firewire 1394B & 1394A PCIe 1.1 X1 Card TI XIO2213B Chipset,https://static-01.daraz.com.bd/p/7f5957f931b3c9a6dcc049c2fbac724c.jpg,5160.00,3018.00,null,-42%,Not Available,0,China,[],No Brand,True
XHHDQES 20 Pcs Hard Steel Dust Filter Blanking Plate PCI Slot Cover W Screws,https://static-01.daraz.com.bd/p/d37c832609161d30c60a669c3e0c8268.jpg,1551.00,929.00,null,-40%,Not Available,0,China,[],No Brand,True
PE503 PCI-E 1X to 16X Extension Cable Dual Power Supply Interface 4PIN+SATA Adapter Card for BTC Miner,https://static-01.daraz.com.bd/p/9ea0703e84a50638e16e1b8b2db85205.jpg,747.00,747.00,null,Not Available,Not Available,0,China,"['PCI-E 1X to 16X extension cable dual power supply interfaceWire: USB cable, length 0.6 metersInterface: PCI-E 1X 4X 8X 16XSystem: Linux/ xp / win7, 8, 10']",No Brand,True
1Pcs Dual PCIe 8 Pin Female to Mini 12 Pin Male GPU Power Adapter Cable for NVIDIA GeForce RTX3080 RTX3090 GPU,https://static-01.daraz.com.bd/p/59d4469319caa507421e7594a0e551b1.png,584.00,584.00,null,Not Available,Not Available,0,China,[],No Brand,True
GT210 512M DDR3 64Bit Graphics Card PCIE 2.0 GPU HDMI-Compatible DVI,https://static-01.daraz.com.bd/p/d0369c5188b9ac47540a4b62e28a6980.jpg,5834.00,3514.00,null,-40%,Not Available,0,China,[],No Brand,True
ARKTEK NVIDIA GeForce G210 64bit 1GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/8eb0bbea5703c4e1c7f69fda3444ff17.jpg,3750.00,3450.00,null,-8%,Not Available,0,Bangladesh,[],ARKTEK,True
Graphics Card GTX550Ti 6GB GPU GDDR5 192Bit Video Card Computer Desktop Graphics Card,https://static-01.daraz.com.bd/p/6d5b86c6b0a7335adfdb950cfd4b07a8.png,14019.00,7378.00,null,-47%,Not Available,0,China,[],No Brand,True
Gigabyte nVIDIA GT710 2GB DDR5 PCI Express Graphics Card,https://static-01.daraz.com.bd/p/f04178943e220345dd013f993ac0e5fd.jpg,6800.00,5800.00,null,-15%,Not Available,0,Bangladesh,[],Gigabyte,False
GTX550Ti 2GB 128Bit GDDR5 Desktop Computer Graphic Card HDMI-Compatible Game Video Card (1Pcs),https://static-01.daraz.com.bd/p/ee4f97dfd992c0db6c59b5f7985e0ec4.jpg,9559.00,6339.00,null,-34%,Not Available,0,China,[],No Brand,True
"OUMERY 2X GT210 1G D2 64BIT Image Card, Dual-Screen Bright Image Card Supports Large and Small Chassis/All-In-One/Desktop",https://static-01.daraz.com.bd/p/60ae4b92a562a75a15500ca62c91c11f.jpg,12337.00,6294.00,null,-49%,Not Available,0,China,[],No Brand,True
PNY GeForce RTX 3060 Ti 8GB UPRISING Dual Fan LHR Graphics Card,https://static-01.daraz.com.bd/p/180de83d150f4209969e59620d041372.jpg,63000.00,58499.00,null,-7%,Not Available,0,Bangladesh,[],PNY,False
