name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
Small Chassis Graphics Card GT610 1GB DDR3 64Bit Video Card VGA+HD+DVI Desktop Office Game,https://static-01.daraz.com.bd/p/187f77f252e54a8b542d01c8aa59a0e3.png,5281.00,3071.00,null,-42%,Not Available,0,China,[],No Brand,True
Pulse AMD Radeon RX 6400 4GB GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/eaa0f16843df57a70f2a16936bfc190d.jpg,51999.00,51999.00,null,Not Available,Not Available,0,Bangladesh,"['8GB High Efficiency VRam', 'GPU: Boost Clock: Up to 2321MHz', 'RDNA 2 Architecture for better speed', '64 bit DDR6. 16 Gbps Effective']",Sapphire,False
ASUS GeForce GT 730 2GB GDDR5 Graphics Card #GT730-SL-2GD5-BRK,https://static-01.daraz.com.bd/p/a9ffedfdd46f216dcc8b98485a19bae9.jpg,9500.00,9250.00,null,-3%,Not Available,0,Bangladesh,[],ASUS,True
NXFDSIOZ 4X est 6In1 220V 100A Single Phase Digital Panel Ampermeter Volt Watt Kwh Power Factor Meter With Split Ct,https://static-01.daraz.com.bd/p/6cb8b804e137c5159cea6a6f62c1be95.jpg,5579.00,3646.00,null,-35%,Not Available,0,China,[],No Brand,True
ARKTEK NVIDIA GeForce GT740 128bit 4GB DDR5 Graphics Card,https://static-01.daraz.com.bd/p/57dabacf7974a04e9f80b782133f7e31.png,14500.00,12000.00,null,-17%,Not Available,0,Bangladesh,[],ARKTEK,True
PELADN RX 5700XT GDDR6 8G 256Bit Graphics Card Desktop Computer Independent Graphics Card Gaming Video Card for BTC Miner Rig,https://static-01.daraz.com.bd/p/a0d58589900fec3de3d8a5ba57515feb.jpg,83378.00,41689.00,null,-50%,Not Available,0,China,[],No Brand,True
PELADN RTX 3060 12G GDDR6 Graphics Cards GPU RTX3060 Computer PC Gaming Video Card,https://static-01.daraz.com.bd/p/b1eac2b507a0c9fd4f754cd680f588f0.jpg,66984.00,44656.00,null,-33%,Not Available,0,China,[],No Brand,True
Graphics Card RX580 8GB 2048SP HD Game Graphics Card DDR5 256BIT Desktop Computer Graphics Card,https://static-01.daraz.com.bd/p/de5c2650ae1e1162d2fd14147b9bab0a.jpg,15117.00,9954.00,null,-34%,Not Available,0,China,[],No Brand,True
RX580 8G AMD Gaming Graphics Card 8GB GDDR5 256BIT 2048SP,https://static-01.daraz.com.bd/p/89bd88f39c0c8ca3add8226dd0fbbf90.jpg,18159.00,11140.00,null,-39%,Not Available,0,China,[],No Brand,True
MSI RTX 2060 VENTUS 6GB OC GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/3854b1fca67cbf9f13dbb2aa45484609.jpg,45000.00,43500.00,null,-3%,Not Available,0,Bangladesh,"['7680 x 4320 Resolution', 'Boost: 1710 MHz Core Clock', '192-Bit BUS Type', '3 Year Warranty']",Toggi,True
