brand,title,stock_status,product_price,cash_discount_price,emi_price,processor,webcam,warranty,url
Lenovo,Lenovo ThinkPad L14 14 inch Full HD Display Core i5 10th Gen 8GB RAM 1TB HDD Laptop,Out Of Stock,,Not Available,Not Available,"Intel Core i5-10210U Processor (6M Cache, 1.60 GHz up to 4.20 GHz)
","720p HD with ThinkShutter
","02 Years Warranty (Terms & condition Apply As Per Lenovo)
",https://www.techlandbd.com/lenovo-thinkpad-l14-laptop
Acer,Acer Spin 3 SP314 21N 14 inch Full HD Multi-Touch Display Athlon Silver 3050U 4GB RAM 256GB SSD 2-in-1 Laptop,Out Of Stock,,Not Available,Not Available,AMD Athlon Silver 3050U (2 Cores 2 Threads Base Clock 2.3GHz Max Boost Clock. Up to 3.2GHz.),Video conferencing HD webcam with | 1280 x 720 resolution | 720p HD audio/video recording,02 Years Warranty (Adapter 1 year)),https://www.techlandbd.com/acer-spin-3-sp314-21n-athlon-silver-laptop
Apple,Apple MacBook Pro 16.2 inch Liquid Retina XDR Display M1 Max Chip 32GB RAM 1TB SSD (Space Grey 2021),Up Coming,,Not Available,Not Available,Apple M1 Max Chip (10-core CPU with 8 performance cores and 2 efficiency cores,1080p FaceTime HD camera (Advanced image signal processor with computational video),"01 year International Limited Warranty
",https://www.techlandbd.com/apple-macbook-pro-m1-max-32gb-ram-space-gray
Asus,ASUS EXPERTBOOK B5 B5302CEA 13.3 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 512 GB SSD LAPTOP,Out Of Stock,,Not Available,Not Available,"Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)
",720p HD camera ,3 years,https://www.techlandbd.com/asus-expertbook-b5-b5302cea-laptop
Acer,Acer Aspire 5 A514-54 14-inch FHD IPS Display Core i5 11th Gen 8 GB RAM 512GB SSD laptop,Out Of Stock,,Not Available,Not Available,Intel Core i5-11135G7 (Upto 4.2 GHz),"HD smart webcam with 1280 x 720 resolution, 720p HD audio/video recording
",02 Years Warranty (Adapter 1 year)),https://www.techlandbd.com/acer-aspire-5-a514-54-i5-safari-gold-laptop
Asus,ASUS EXPERTBOOK B5 B5302CEA 13.3 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 512 GB SSD LAPTOP with Windows 10,Out Of Stock,,Not Available,Not Available,"Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)
",720p HD camera ,3 years,https://www.techlandbd.com/asus-expertbook-b5-b5302cea-laptop-win10
Acer,ACER ASPIRE 5 THIN 15.6 INCH FULL HD DISPLAY CORE I5 13TH GEN 8 GB RAM 512 GB SSD GAMING LAPTOP WITH RTX 2050 4GB GRAPHICS,Up Coming,,Not Available,Not Available,"Intel Core i5-1335U processor / 13th Gen
","HD camera with 1280 x 720 resolution, 720p HD audio/video recording
","02 Years Warranty
",https://www.techlandbd.com/acer-aspire-5-thin-core-i5-13th-gen-gaming-laptop
Asus,Asus ROG Flow Z13 GZ301ZE 13.4 inch WUXGA Touch Display Core i9 12th Gen 16GB LPDDR5 RAM 1TB SSD Gaming Laptop with RTX 3050 Ti 4GB Graphics,Out Of Stock,,Not Available,Not Available,"12th Gen Intel Core i9-12900H Processor 2.5 GHz (24M Cache, up to 5.0 GHz, 14 cores: 6 P-cores and 8 E-cores)
","8MP camera and 720P HD camera
","2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-flow-z13-gz301ze-gaming-laptop
Asus,Asus ROG STRIX G15 G513QM 15.6 inch Full HD 300Hz Display Ryzen 7 5800H 16GB RAM 512GB SSD Gaming Laptop with RTX 3060 6GB Graphics (Original Black),Out Of Stock,,Not Available,Not Available,"AMD Ryzen 7 5800H Processor(16M Cache, 3.2 GHz up to 4.4 GHz)","FHD 1080P Web camera
",2 years International Limited Warranty (Terms & condition Apply As Per Asus),https://www.techlandbd.com/asus-rog-strix-g15-g513qm-black-laptop
Asus,Asus ROG STRIX G15 G513QM 15.6 inch Full HD 300Hz Display Ryzen 7 5800H 16GB RAM 512GB SSD Gaming Laptop with RTX 3060 6GB Graphics (Eclipse Grey),Out Of Stock,,Not Available,Not Available,"AMD Ryzen 7 5800H Processor(16M Cache, 3.2 GHz up to 4.4 GHz)
",FHD Web Cam,"2 years International Limited Warranty (Terms & condition Apply As Per Asus)
",https://www.techlandbd.com/asus-rog-strix-g15-g513qm-grey-laptop
