title,href,processor_Type,RAM,Proc_Generation,Display
Dynabook (Toshiba) Satellite Pro C40-G-13F Intel CDC 5205U 14 Inch HD Display Dark Blue Laptop #A1PYS27E112G-2Y,https://www.ryanscomputers.com/dynabook-toshiba-satellite-pro-c40-g-13f-intel-cdc-5205u-14-inch-hd-display-dark-blue-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 14
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 15.6 Inch HD Display Platinum Grey Laptop #81WQ00Q2IN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15igl-intel-cdc-n4020-15.6-inch-hd-display-platinum-grey-laptop-81wq00q2in-2y,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 256GB SSD 15.6 Inch HD Display Platinum Grey Laptop #81WQ00QWIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15igl-intel-cdc-n4020-256gb-ssd-15.6-inch-hd-display-platinum-grey-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Lenovo IdeaPad D330 10IGL Intel CDC N4020 10.1 Inch HD IPS Touch Display Mineral Grey Laptop #82H0001VIN-1Y,https://www.ryanscomputers.com/lenovo-ideapad-d330-10igl-intel-cdc-n4020-mineral-grey-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 10.1
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 15.6 Inch HD Antiglare Display Platinum Grey Laptop #81WQ00FAIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15igl-intel-cdc-n4020-platinum-grey-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 15.6 Inch FHD Antiglare Display Grey Laptop #81WQ00QVIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15igl-intel-cdc-n4020-15.6-inch-fhd-antiglare-display-grey-laptop-81wq00qvin-2y,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Asus E210MA Intel CDC N4020 11.6 Inch HD Display Peacock Blue Laptop #E210MA-GJ534W,https://www.ryanscomputers.com/asus-e210ma-intel-cdc-n4020-11.6-inch-hd-display-peacock-blue-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 11.6
Asus 15 P1511CMA Intel CDC N4020 15.6 Inch HD Display Slate Grey Laptop #BR693W-P1511CMA,https://www.ryanscomputers.com/asus-15-p1511cma-intel-cdc-n4020-15.6-inch-hd-display-slate-grey-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Asus X515MA Intel CDC N4020 15.6 Inch FHD WV Display Transparent Silver Laptop #BQ675W-X515MA,https://www.ryanscomputers.com/asus-x515ma-intel-cdc-n4020-15.6-inch-fhd-wv-display-transparent-silver-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Asus X415KA Intel CDC N4500 14 Inch Slate Grey Laptop #EK091W-X415KA,https://www.ryanscomputers.com/asus-x415ka-intel-cdc-n4500-14-inch-slate-grey-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 14
Asus X515KA Intel CDC N4500 4GB DDR4 15.6 Inch Display FHD Transparent Silver Laptop #EJ150W-X515KA,https://www.ryanscomputers.com/asus-x515ka-intel-cdc-n4500-4gb-ddr4-15.6-inch-display-fhd-transparent-silver-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
HP 250 G8 Intel CDC N4020 15.6 Inch FHD Display Dark Ash Silver Laptop #5C3R7PA-3Y,https://www.ryanscomputers.com/hp-250-g8-intel-cdc-n4020-15.6-inch-fhd-display-dark-ash-silver-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Acer One 14 Z2-493 AMD Ryzen 3 3250U 14 Inch HD Display Silver Laptop #UN.431SI.133,https://www.ryanscomputers.com/acer-one-14-z2-493-14-inch-silver-laptop,Processor Type. - Ryzen 3,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 14
Asus E510MA Intel CDC N4020 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA,https://www.ryanscomputers.com/asus-e510ma-star-black-laptop,Processor Type. - Intel Celeron,RAM - 4GB,Generation - Not Applicable,Display Size (Inch) - 15.6
Dynabook (Toshiba) Satellite Pro C40-G-11I Intel Core i3 10110U 14 Inch HD Display Dark Blue Laptop #A1PYS27E,https://www.ryanscomputers.com/dynabook-toshiba-satellite-pro-c40-g-11i-intel-core-i3-10110u-dark-blue-laptop-a1pys27e,Processor Type. - Core i3,RAM - 8GB,Generation - 10th (Intel),Display Size (Inch) - 14
