titles,availability,originalPrices,discounts,discountPrices
MicycleÂ  Steel 1-Spd 24 MJB-08 Ladies Pink (PC),In stock,"9,000.00",Not Available,"9,000.00"
Micycle  Steel 1-Spd 24 MJB-07 Gents Red (PC),In stock,"9,000.00",Not Available,"9,000.00"
British Eagle Bella 15/26,In stock,"18,185.00",Not Available,"18,185.00"
Duranta Steel 1-Speed Muscular Premier 26 Blue,In stock,"9,095.00",Not Available,"9,095.00"
Duranta Steel 1-Speed Muscular Premier 26 Red,In stock,"8,780.00",Not Available,"8,780.00"
Duranta Steel 1-Spd Moto Bike 16 Green,In stock,"8,905.00",Not Available,"8,905.00"
Duranta Steel 18-Spd 700C Hybrid Red,In stock,"10,920.00",Not Available,"10,920.00"
"Duranta Steel 1-Speed Mascular 24"" Green",In stock,"11,460.00",Not Available,"11,460.00"
DURANTA ALLOY 30-SPD VENOM -R27.5 YELLOW,In stock,"23,690.00",Not Available,"23,690.00"
Duranta Alloy 27-SPD Venom R27.5 Yellow,In stock,"23,050.00",Not Available,"23,050.00"
"Duranta CB Racer Masti Blue Single Carton 26"" Blue",In stock,"8,840.00",Not Available,"8,840.00"
"Duranta Avenger Premier 16 "" Bicycle",In stock,"7,230.00",Not Available,"7,230.00"
"Duranta Junior Ryan - 20"" Bicycle",In stock,"8,460.00",Not Available,"8,460.00"
"Duranta Steel 1-Speed Avenger Premier 26"" Red",In stock,"11,525.00",Not Available,"11,525.00"
Duranta Steel 1-Spd Angellena Ladies 24 Pink Without Basket,In stock,"10,200.00",Not Available,"10,200.00"
Duranta Steel 1-Spd City Bike 26 Black,In stock,"8,965.00",Not Available,"8,965.00"
Duranta Avenger Premier Blue 26 Inch Bicycle,In stock,"11,525.00",Not Available,"11,525.00"
Duranta Stl 1-Spd Spaark 24M-03B CKD DS with Carri,In stock,"11,390.00",Not Available,"11,390.00"
Duranta Alloy 21-Spd Spaark 26M-10 CKD FS MW Blue,In stock,"19,390.00",Not Available,"19,390.00"
Duranta Alloy 21-Spd Dynamic X-800 26 Blue,In stock,"16,590.00",Not Available,"16,590.00"
Duranta Stl 21-Spd Potter 20M-1SS-Red/Blue/Yellow,In stock,"11,500.00",Not Available,"11,500.00"
"Duranta Alloy 21-Spd Dynamic X-500 26 Green,847162	",In stock,"16,490.00",Not Available,"16,490.00"
Sample Bike 14 Inch-Exp,In stock,"4,800.00",Not Available,"4,800.00"
Sample Bike 28 Inch-Exp,In stock,"8,500.00",Not Available,"8,500.00"
Duranta Steel 21-Spd Venom 21r27.5 Red,Out of stock,"13,986.00",Not Available,"13,986.00"
"Duranta Supreme 26""(Multi speed) 804680",Out of stock,"12,029.00",Not Available,"12,029.00"
"Duranta Knight Red Gents Bicycle 26""",Out of stock,"8,762.00",Not Available,"8,762.00"
Duranta Steel 1-Spd City Bike 26 Black,Out of stock,"8,965.00",Not Available,"8,965.00"
Duranta Steel 1-Spd Classic 1-Bar 28 Black 804287,Out of stock,"9,860.00",Not Available,"9,860.00"
"Duranta Durjoy 1-Bar 26""(Single Speed) 804383",Out of stock,"10,550.00",Not Available,"10,550.00"
804414Duranta Steel 1-Spd Master 26 Red,Out of stock,"9,480.00",Not Available,"9,480.00"
"Duranta Glister -14"" 804578",Out of stock,"6,690.00",Not Available,"6,690.00"
"Duranta Mascular-26""(Multi speed) 804681",Out of stock,"13,365.00",Not Available,"13,365.00"
Duranta Steel 1-Spd Rider 20 Blue,Out of stock,"8,455.00",Not Available,"8,455.00"
